GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
scb-java-client,com.github.dannil.scbjavaclient.client.population.statistic,PopulationStatisticsClient,0,163,0,0,0,31,0,8,0,8
scb-java-client,com.github.dannil.scbjavaclient.client.environment.landandwaterarea,EnvironmentLandAndWaterAreaClient,0,53,0,0,0,12,0,4,0,4
scb-java-client,com.github.dannil.scbjavaclient.constants,ClientConstants,3,7,0,0,2,2,1,1,1,1
scb-java-client,com.github.dannil.scbjavaclient.constants,APIConstants,0,10,0,0,0,3,0,2,0,2
scb-java-client,com.github.dannil.scbjavaclient.client.population.name,PopulationNameStatisticsClient,0,47,0,0,0,11,0,4,0,4
scb-java-client,com.github.dannil.scbjavaclient.client.population.demography,PopulationDemographyClient,0,99,0,0,0,20,0,6,0,6
scb-java-client,com.github.dannil.scbjavaclient.model.population.demography,FertilityRate,0,124,0,10,0,30,0,13,0,8
scb-java-client,com.github.dannil.scbjavaclient.model.population.demography,MeanAgeFirstChild,0,124,0,10,0,30,0,13,0,8
scb-java-client,com.github.dannil.scbjavaclient.model.population,NumberOfChildrenBornWithFirstName,0,114,0,10,0,28,0,13,0,8
scb-java-client,com.github.dannil.scbjavaclient.utility,Localization.ResourceBundleEncodingControl,32,73,13,9,4,18,10,4,0,3
scb-java-client,com.github.dannil.scbjavaclient.utility,JsonUtility,0,216,1,13,0,50,1,15,0,9
scb-java-client,com.github.dannil.scbjavaclient.utility,Localization,0,64,0,0,0,19,0,6,0,6
scb-java-client,com.github.dannil.scbjavaclient.utility,URLUtility,0,45,0,0,0,10,0,4,0,4
scb-java-client,com.github.dannil.scbjavaclient.utility,QueryBuilder,0,161,0,16,0,28,0,11,0,3
scb-java-client,com.github.dannil.scbjavaclient.model.environment.landandwaterarea,Area,0,124,0,10,0,30,0,13,0,8
scb-java-client,com.github.dannil.scbjavaclient.model.population.statistic,LiveBirth,0,154,0,12,0,37,0,16,0,10
scb-java-client,com.github.dannil.scbjavaclient.model.population.statistic,AverageAge,0,124,0,10,0,30,0,13,0,8
scb-java-client,com.github.dannil.scbjavaclient.model.population.statistic,Population,0,184,0,14,0,43,0,19,0,12
scb-java-client,com.github.dannil.scbjavaclient.client.population,PopulationClient,0,51,0,0,0,14,0,5,0,5
scb-java-client,com.github.dannil.scbjavaclient.model,AbstractYearAndValueModel,0,63,0,10,0,17,0,11,0,6
scb-java-client,com.github.dannil.scbjavaclient.model,AbstractValueModel,0,43,0,6,0,17,0,9,0,6
scb-java-client,com.github.dannil.scbjavaclient.model,AbstractRegionYearAndValueModel,0,84,0,12,0,22,0,14,0,8
scb-java-client,com.github.dannil.scbjavaclient.client,SCBClient,0,87,0,0,0,22,0,7,0,7
scb-java-client,com.github.dannil.scbjavaclient.client,AbstractClient,0,255,0,8,0,55,0,15,0,11
scb-java-client,com.github.dannil.scbjavaclient.client,AbstractContainerClient,0,28,0,2,0,7,0,3,0,2
scb-java-client,com.github.dannil.scbjavaclient.utility.requester,RequesterSingletonFactory.POSTHolder,3,6,0,0,1,1,1,1,1,1
scb-java-client,com.github.dannil.scbjavaclient.utility.requester,GETRequester,0,49,0,2,0,11,0,4,0,3
scb-java-client,com.github.dannil.scbjavaclient.utility.requester,POSTRequester,0,78,0,4,0,18,0,7,0,5
scb-java-client,com.github.dannil.scbjavaclient.utility.requester,RequesterSingletonFactory.GETHolder,3,6,0,0,1,1,1,1,1,1
scb-java-client,com.github.dannil.scbjavaclient.utility.requester,RequesterSingletonFactory,0,48,0,2,0,12,0,5,0,4
scb-java-client,com.github.dannil.scbjavaclient.utility.requester,RequesterFactory,12,22,1,2,1,6,1,4,0,3
scb-java-client,com.github.dannil.scbjavaclient.utility.requester,RequestMethod,0,50,0,0,0,6,0,4,0,4
scb-java-client,com.github.dannil.scbjavaclient.utility.requester,AbstractRequester,64,234,15,7,5,46,9,10,0,7
scb-java-client,com.github.dannil.scbjavaclient.exception,SCBClientUrlNotFoundException,0,16,0,0,0,8,0,4,0,4
scb-java-client,com.github.dannil.scbjavaclient.exception,SCBClientParsingException,0,16,0,0,0,8,0,4,0,4
scb-java-client,com.github.dannil.scbjavaclient.exception,SCBClientTooManyRequestsException,0,16,0,0,0,8,0,4,0,4
scb-java-client,com.github.dannil.scbjavaclient.exception,SCBClientException,0,16,0,0,0,8,0,4,0,4
scb-java-client,com.github.dannil.scbjavaclient.client.environment,EnvironmentClient,0,23,0,0,0,8,0,3,0,3
